block,iters,max_eigenvalue
0,99,0.021172856576344296
0,100,0.07035346104239681
0,101,0.3740560937354389
0,102,0.6769238961480427
0,103,0.5299992985703654
0,104,0.2632216059970599
0,105,-0.06809356742094251
0,106,-0.009137707110134959
0,107,0.11169338572054574
0,108,0.23988815876855135
0,109,0.5957003769547238
0,110,0.42847981440116195
0,111,0.18342671345833544
0,112,0.5197768378098824
0,113,0.5461177440041506
0,114,0.32460704879751817
0,115,0.5463639974120122
0,116,0.4401522259338043
0,117,1.2566518398798385
0,118,0.19056971289793406
0,119,0.454405123358539
0,120,0.2880312130334377
0,121,0.29033015811809976
1,0,3.897321811606976e-06
1,1,0.0042515015158788765
1,2,0.045844195614278195
1,3,0.1905464258908863
1,4,0.7203675922406736
1,5,1.3643803895948756
1,6,0.655787056084335
1,7,0.6374066481881916
1,8,0.6463371261687686
1,9,1.0462469503121437
1,10,0.9069474645977535
1,11,0.915473096622471
2,0,-1.3781597317415237e-05
2,1,0.0008819128787806125
2,2,0.11342410775823573
2,3,1.4362090290004002
2,4,1.0884313189680848
2,5,0.7230053588167684
2,6,1.0107950249159912
2,7,0.7301815935442035
2,8,0.7390013467134919
2,9,0.3474878938612694
2,10,0.7199140309367371
2,11,0.6203681875315205
2,12,0.2309155009696531
2,13,0.3112014727681133
2,14,0.2058504506337435
2,15,0.11421877687374146
2,16,1.5619188062685467
2,17,0.877659636733825
2,18,0.840804066912861
2,19,0.7001804784088438
2,20,0.8907316776900636
2,21,0.49316915709043074
2,22,1.0273064943576133
2,23,0.19774853507059664
2,24,0.15136005864228688
2,25,0.6295960432687652
2,26,0.29299549436920524
2,27,0.6498577915120718
2,28,0.06491550993827362
2,29,0.10134486507468858
2,30,0.42918239500268607
2,31,0.8522931267233456
2,32,0.10508586476245353
2,33,0.6211146654796633
2,34,0.5331880571465508
2,35,0.7981291543306794
2,36,1.877108357438092
2,37,2.530603695439952
2,38,1.988203262616397
2,39,0.7436428665626873
2,40,0.6892299194835582
2,41,0.4948712499389006
2,42,1.3860754932719856
2,43,1.2929853703205856
2,44,0.44025460846479025
2,45,0.7227224350644752
2,46,0.6177018698356734
2,47,1.4859238447132004
2,48,1.26035063744372
2,49,1.9661807132846303
2,50,1.3809177334887732
2,51,0.9092464542935402
2,52,1.2033723276437422
2,53,0.2795491660774667
2,54,0.16145977189339833
2,55,0.810172016642105
2,56,0.5756879602868771
2,57,0.8532882224689546
2,58,1.0463304623374183
2,59,1.3068251687314074
2,60,1.339975249319798
2,61,1.2918587609796186
2,62,0.8082037738241963
2,63,0.9114039375020556
2,64,1.6098961078999348
2,65,0.5906226495290664
2,66,0.29696891801620195
2,67,0.5883146929972326
2,68,0.9690137623820495
2,69,1.272688825400081
2,70,1.2011779956462967
2,71,0.9004670741920261
2,72,0.9782412166191727
2,73,2.3175944976396217
2,74,1.296935328516036
2,75,1.0595995952421957
2,76,1.3569094537782496
2,77,1.094207299716179
2,78,1.0046366376077176
2,79,0.6148996666542564
2,80,1.22402781367288
2,81,1.2309631483274068
3,0,-4.313181819566968e-05
3,1,-0.02816857099393671
3,2,-0.1685807892013441
3,3,-0.11298591498672829
3,4,0.1898545965703938
3,5,0.9737089940252784
3,6,1.8109882467602472
3,7,2.5215299711382437
3,8,1.0593824282875814
3,9,1.901983163633091
3,10,1.217996389625254
3,11,0.989604562280499
3,12,1.643996316220325
3,13,1.0916181592659118
3,14,1.0793064703175705
3,15,1.5353157651060547
3,16,2.687841671250073
3,17,1.9833799078232808
3,18,2.227774459344576
3,19,1.034991117461134
3,20,0.0859809833553824
3,21,0.12414949203203915
3,22,0.06608344033341312
3,23,-0.08169201964761008
3,24,0.36259618729488874
3,25,0.4997509485824026
3,26,0.27439147321094115
3,27,0.7916996206070105
3,28,2.3305422520026897
3,29,1.1776653455302193
3,30,0.8998606305640422
3,31,0.55775250374762
3,32,0.5567699883391516
4,0,-8.202645222559169e-06
4,1,-0.026083140328061215
4,2,-0.1495689889057772
4,3,-0.34444104327247677
4,4,0.029571086199656378
4,5,1.1252152433229208
4,6,1.4565939039476377
4,7,0.7230415384388293
4,8,1.4019799837521287
4,9,2.3645671567447337
4,10,1.9218463560891086
4,11,1.0614101823457234
4,12,3.92770902160566
4,13,3.1273144251449025
4,14,2.493515077104012
4,15,2.3101836976189736
4,16,2.0790577436689603
4,17,1.4999962455277525
4,18,2.1422351261228583
4,19,3.3693800975169204
4,20,2.653834610957874
4,21,1.728982471496846
4,22,2.215834024175261
4,23,2.3636797522539394
4,24,3.637585747577951
4,25,1.7793113147288144
4,26,2.246377833641533
4,27,2.8534786727132606
4,28,2.510012270985758
4,29,3.118897911930987
4,30,3.7588180847132278
4,31,6.185647917412802
4,32,4.072325082706883
4,33,2.497104131301346
4,34,1.7099022935000292
4,35,3.1237358991729764
4,36,3.331372846902957
4,37,1.7187579586246309
4,38,3.8874498014212517
4,39,1.1604501802089575
4,40,1.74838313581288
4,41,2.0579470457242754
4,42,2.1575622594282646
4,43,2.449280648827622
4,44,0.3287640695278581
4,45,0.3059475760113606
4,46,1.7011069426159038
4,47,0.8719001621018374
4,48,0.0708977056098896
4,49,0.3399398923268751
4,50,0.6301561805494011
4,51,0.5331065526218836
4,52,1.389733873156968
4,53,1.3349993244805065
4,54,0.7342590057226722
4,55,2.342985900657635
4,56,2.061629247949801
4,57,2.484659768868407
4,58,2.0688036090100024
4,59,3.3194995068650592
4,60,3.1239853645818103
4,61,3.032537912460896
4,62,2.9746640789454446
4,63,2.797765980518543
4,64,3.29172497757024
4,65,3.2816714145275405
5,0,-3.770498815697824e-05
5,1,0.37657312030276974
5,2,4.594871959077337
5,3,2.691821162010017
5,4,2.6442498216126036
5,5,3.7548384155087855
5,6,3.487251254079384
5,7,7.107801262279265
5,8,1.6374033273360753
5,9,1.964438024312763
5,10,1.3832566055299635
5,11,1.7600798157973117
5,12,5.728929573409725
5,13,3.622442590550447
5,14,2.9787451046250073
5,15,2.5775661832086523
5,16,5.200660338862962
5,17,3.88819391497979
5,18,4.845510105154916
5,19,1.9637438752137906
5,20,2.283240898131432
5,21,3.3861049865786894
5,22,3.6964510187267936
5,23,5.4100278413389145
5,24,3.1800697566668004
5,25,3.2115602141973523
6,0,-1.0872012746613244e-05
6,1,0.06643930327444798
6,2,1.9178775719990717
6,3,8.72627002232926
6,4,10.449083132181178
6,5,4.579902250102327
6,6,3.8162693616563486
6,7,4.9301409774350216
6,8,9.140417576115
6,9,4.721778474374342
6,10,7.145385956320898
6,11,2.8573546656641033
6,12,3.824154824042875
6,13,3.4519199571641836
6,14,5.181572487752711
6,15,7.22237405073237
6,16,5.880258002764662
6,17,10.579374739613787
6,18,7.822664912409732
6,19,5.061398326493246
6,20,4.06166623592544
6,21,4.111365883855872
6,22,5.7725995817375155
6,23,8.364772874700327
6,24,6.141346572449494
6,25,7.782412830005262
6,26,8.726473449057492
6,27,7.976998704007571
6,28,5.185835526820693
6,29,6.348983163290478
6,30,8.916264876275434
6,31,8.54547219783322
6,32,2.5886395565599964
6,33,2.630455704993385
6,34,4.211533561727064
6,35,1.7900499262010656
6,36,0.7079340703110153
6,37,4.487063287782496
6,38,6.130244469533899
6,39,4.134106493849403
6,40,10.108829445203776
